[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (?ms, 814012B)
[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (?ms, 473164B)
[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:27:14.263Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (?ms, 732666B)
[2026-03-16T23:27:14.264Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:27:14.264Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:27:14.264Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:27:14.264Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:27:14.264Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
[2026-03-16T23:31:55.832Z] GET http://localhost:8085/index.html → 200 (1ms, 8122B)
[2026-03-16T23:31:55.836Z] GET http://localhost:8085/css/styles.css → 200 (3ms, 17956B)
[2026-03-16T23:31:55.836Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (?ms, 206157B)
[2026-03-16T23:31:55.836Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
[2026-03-16T23:31:55.836Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (?ms, 141214B)
[2026-03-16T23:31:55.836Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (1ms, 903104B)
[2026-03-16T23:31:55.837Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (?ms, 581787B)
[2026-03-16T23:31:55.837Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (?ms, 730726B)
[2026-03-16T23:31:55.837Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (?ms, 747763B)
[2026-03-16T23:31:55.837Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (?ms, 682777B)
[2026-03-16T23:31:55.837Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:31:55.838Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:31:55.838Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (?ms, 814012B)
[2026-03-16T23:31:55.838Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (?ms, 473164B)
[2026-03-16T23:31:55.838Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:31:55.838Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (?ms, 732666B)
[2026-03-16T23:31:55.839Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:31:55.839Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:31:55.839Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:31:55.839Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:31:55.839Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
[2026-03-16T23:32:35.129Z] GET http://localhost:8085/index.html → 200 (1ms, 8122B)
[2026-03-16T23:32:35.132Z] GET http://localhost:8085/css/styles.css → 304 (3ms, ?B)
[2026-03-16T23:32:35.132Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (1ms, 206157B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (?ms, 141214B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (?ms, 903104B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (?ms, 581787B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (?ms, 730726B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (?ms, 747763B)
[2026-03-16T23:32:35.133Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (1ms, 682777B)
[2026-03-16T23:32:35.134Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:32:35.134Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:32:35.134Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (?ms, 814012B)
[2026-03-16T23:32:35.135Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (?ms, 473164B)
[2026-03-16T23:32:35.135Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:32:35.135Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (?ms, 732666B)
[2026-03-16T23:32:35.135Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:32:35.136Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:32:35.136Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:32:35.136Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:32:35.136Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
[2026-03-16T23:33:48.031Z] GET http://localhost:8085/index.html → 200 (2ms, 8122B)
[2026-03-16T23:33:48.037Z] GET http://localhost:8085/css/styles.css → 200 (12ms, 17978B)
[2026-03-16T23:33:48.037Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (?ms, 206157B)
[2026-03-16T23:33:48.037Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
[2026-03-16T23:33:48.037Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (1ms, 141214B)
[2026-03-16T23:33:48.038Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (?ms, 903104B)
[2026-03-16T23:33:48.038Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (?ms, 581787B)
[2026-03-16T23:33:48.039Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (?ms, 730726B)
[2026-03-16T23:33:48.039Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (?ms, 747763B)
[2026-03-16T23:33:48.039Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (?ms, 682777B)
[2026-03-16T23:33:48.041Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:33:48.041Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:33:48.042Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (3ms, 814012B)
[2026-03-16T23:33:48.045Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (?ms, 473164B)
[2026-03-16T23:33:48.045Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:33:48.048Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (?ms, 732666B)
[2026-03-16T23:33:48.048Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:33:48.049Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:33:48.049Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:33:48.051Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:33:48.051Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
[2026-03-16T23:34:09.292Z] GET http://localhost:8085/index.html → 200 (1ms, 8122B)
[2026-03-16T23:34:09.296Z] GET http://localhost:8085/css/styles.css → 200 (4ms, 18000B)
[2026-03-16T23:34:09.296Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (?ms, 206157B)
[2026-03-16T23:34:09.297Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
[2026-03-16T23:34:09.297Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (?ms, 141214B)
[2026-03-16T23:34:09.297Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (?ms, 903104B)
[2026-03-16T23:34:09.298Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (?ms, 581787B)
[2026-03-16T23:34:09.298Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (?ms, 730726B)
[2026-03-16T23:34:09.298Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (?ms, 747763B)
[2026-03-16T23:34:09.298Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (?ms, 682777B)
[2026-03-16T23:34:09.298Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:34:09.299Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:34:09.299Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (?ms, 814012B)
[2026-03-16T23:34:09.299Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (1ms, 473164B)
[2026-03-16T23:34:09.300Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:34:09.300Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (?ms, 732666B)
[2026-03-16T23:34:09.301Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:34:09.301Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:34:09.301Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:34:09.301Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:34:09.301Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
[2026-03-16T23:36:14.135Z] GET http://localhost:8085/index.html → 200 (3ms, 9668B)
[2026-03-16T23:36:14.142Z] GET http://localhost:8085/css/styles.css → 304 (3ms, ?B)
[2026-03-16T23:36:14.142Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 304 (3ms, ?B)
[2026-03-16T23:36:14.142Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
[2026-03-16T23:36:14.142Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (1ms, 141214B)
[2026-03-16T23:36:14.143Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (?ms, 903104B)
[2026-03-16T23:36:14.143Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (?ms, 581787B)
[2026-03-16T23:36:14.143Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (?ms, 730726B)
